id;Cod.;Descrizione;Tipologia;Categoria;Sottocategoria;Cod. Udm;Cod. Iva;Listino 1;Listino 2;Listino 3;Formula listino 1;Formula listino 2;Formula listino 3;Note;Cod. a barre;Internet;Produttore;Extra 1;Extra 2;Extra 3;Extra 4;Cod. fornitore;Fornitore;Cod. prod. forn.;Prezzo forn.;Note fornitura;Ord. a multipli di;Gg. ordine;Scorta min.;Ubicazione;Tot. q.tà caricata;Tot. q.tà scaricata;Q.tà giacenza;Q.tà impegnata;Q.tà disponibile;Q.tà in arrivo;Vendita media mensile;Stima data fine magazz.;Stima data prossimo ordine;Data primo carico;Data ultimo carico;Data ultimo scarico;Costo medio d'acq.;Ultimo costo d'acq.;Prezzo medio vend.;Stato magazzino;Immagine
578;KIT-REVISIONE-PISTONE-QA/8050/00;Kit per revisione pistone ad aria norgreen per caricatore lana di roccia;Art. con magazzino;RICAMBI LINEE;PNEUMATICO;pz;22;;;;;;;;QA/8050/00;;noRGREN;;;;;;;QA/8050/00;;;;30;1;SCAFFALE 2 PIANO 3;3;0;3;0;3;0;0;;;20/01/2023;20/01/2023;;;;;Regolare;
579;00565;LAMPADA LED ROSSO V12 DC;Art. con magazzino;RICAMBI LINEE;ELETTRONICO;pz;22;;;;;;;;8010152388231;;SIR;;;;;2084;D'ELPIDIO S.R.L;SIR38823;;;;0;0;SCAF 9 P2  POSTO 2A;1;0;1;0;1;0;0;;;27/02/2025;27/02/2025;;;;;Regolare;00565 -- 000 (537).JPG
580;00519;lampada neon TL-D58W/865 LUNGH.150;Art. con magazzino;RICAMBI LINEE;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 5 PIANO 5;1;0;1;0;1;0;0;;;27/11/2025;27/11/2025;;;;;Regolare;00519 -- 000 (712).jpg
581;BUSSOLA-CONICA-FORO-12;Le bussole coniche SER-SIT® permettono un montaggio e uno smontaggio delle pulegge (e anche di numerosi organi di trasmissione) in un tempo molto breve senza l’uso di attrezzi particolari oltre ad una chiave esagonale.;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;SER SIT;;;;;;;BC 1210F;;;;0;0;SCAFFALE 2 PIANO 2;2;0;2;0;2;0;0;;;27/09/2021;27/09/2021;;;;;Regolare;BUSSOLA-CONICA-FORO-12 -- 000 (125).jpg
582;FILTRO-REGOLATORE-1/4;Lubrificatore a micronebbia per impianti pneumatici;Art. con magazzino;RICAMBI LINEE;PNEUMATICO;pz;22;;;;;;;;L72M-2GP-ETN;;norgreen;;;;;;;L72M-2GP-ETN;;;;0;0;SCAFFALE 2 PIANO 3;4;0;4;0;4;0;0;;;24/09/2021;24/09/2021;;;;;Regolare;
583;REG+LUBRI-BL72-207G;Lubrificatore a micronebbia per impianti pneumatici combinato con regolatore di pressione a max 10B;Art. con magazzino;RICAMBI LINEE;PNEUMATICO;pz;22;;;;;;;;746350191608;;norgreen;;;;;;;4214-52;;;;0;0;SCAFFALE 2 PIANO 3;2;0;2;0;2;0;0;;;24/09/2021;24/09/2021;;;;;Regolare;REG+LUBRI-BL72-207G -- 000 (88).jpg
584;LUBRIFICATORE-MICRONEBBIA-1/2;lubrificatore micronebbia vad aria compressa 1/2, 10 bar temperatura da -34 a 50°c;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;l73m-4gp-epn;;;;;;;;;l73m-4gp-epn;;;;0;0;SCAFFALE 2 PIANO 3;2;0;2;0;2;0;0;;;30/09/2021;30/09/2021;;;;;Regolare;LUBRIFICATORE-MICRONEBBIA-1-2 -- 000 (220).jpeg
585;00330;MAGLIA A PROLUNGA A META' PER CATENE 06B-1;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;skf;;;;;2047;Di Emidio Srl;phc 06b-1 c/l;;;;0;0;SCAF 16A RIP1  POS1  PIANO4;15;0;15;0;15;0;0;;;28/07/2023;20/05/2025;;;;;Regolare;00330 -- 000 (440).JPG
586;00329;Maglia Falsa S.3/8X 7/32 Tyc 06B1;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;8010800247125;;;;;;;2047;Di Emidio Srl;tyc145mf;;;;0;0;SCAF 16A RIP1  POS1  PIANO4;15;0;15;0;15;0;0;;;20/05/2025;20/05/2025;;;;;Regolare;00329 -- 000 (545).JPG
587;MAGLIA-GIUNTO-DOPPIO-3/8;MAGLIA GIUNTO 3/8  DOPPIO PER CATENE 06B-1;Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;SKF;;;;;2047;Di Emidio Srl;;;;;0;0;SCAFFALE 12 PIANO 6;10;0;10;0;10;0;0;;;12/09/2023;12/09/2023;;;;;Regolare;MAGLIA-GIUNTO-DOPPIO-3-8 -- 000 (461).jpg
588;00510;"MAGLIA PERNO 
D 5,6 mm
INT PERNI 24,5mm
L PERNI 23,4";Art. con magazzino;RICAMBI LINEE;MECCANICO;pz;22;;;;;;;;;;skf;;;;;2047;Di Emidio Srl;phc 06b-1 c/l;;;;0;0;SCAF 16A RIP POS  PIANO4;3;0;3;0;3;0;0;;;26/11/2025;26/11/2025;;;;;Regolare;00510 -- 000 (707).JPG
