id;Cod.;Descrizione;Tipologia;Categoria;Sottocategoria;Cod. Udm;Cod. Iva;Listino 1;Listino 2;Listino 3;Formula listino 1;Formula listino 2;Formula listino 3;Note;Cod. a barre;Internet;Produttore;Extra 1;Extra 2;Extra 3;Extra 4;Cod. fornitore;Fornitore;Cod. prod. forn.;Prezzo forn.;Note fornitura;Ord. a multipli di;Gg. ordine;Scorta min.;Ubicazione;Tot. q.tà caricata;Tot. q.tà scaricata;Q.tà giacenza;Q.tà impegnata;Q.tà disponibile;Q.tà in arrivo;Vendita media mensile;Stima data fine magazz.;Stima data prossimo ordine;Data primo carico;Data ultimo carico;Data ultimo scarico;Costo medio d'acq.;Ultimo costo d'acq.;Prezzo medio vend.;Stato magazzino;Immagine
1;00488;Ruota girevole senza freno diametro 80mmn;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAF 16B RIP  POS  PIANO 5;7;2;5;0;5;0;0,07;06/11/2031;06/11/2031;30/10/2023;30/10/2023;28/11/2025;;;;Regolare;00488 -- 000 (476).jpg
2;UMIDIFICATORE-PORTATILE;Umidificatore portatile;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;beurer;;;;;2084;D'ELPIDIO S.R.L;;;;;0;0;SCAFFALE 11 PIANO 6;2;1;1;0;1;0;0,02;03/03/2030;01/03/2030;25/01/2022;25/01/2022;25/01/2022;;;;Regolare;UMIDIFICATORE-PORTATILE -- 000 (317).jpeg
3;00563;accessori armadietti postazione operatore;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;MAB;;;;;2047;Di Emidio Srl;TAR.MAB845;€ 2.518,10;;;0;0;SCAF 18A RIP  POS  PIANO 1;3;0;3;0;3;0;0;;;10/02/2026;10/02/2026;;;;;Regolare;
4;00549;accessori aspirapolvere;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;scaffale 8 piano 4;1;0;1;0;1;0;0;;;05/12/2025;05/12/2025;;;;;Regolare;00549 -- 000 (731).jpg
5;00550;"Avvitatore a colonna magnetico
trapano colona portatile
CM3 F12/60/100mm-1800W-4V-MASCH.M30
Base regolabile di 20 mm
Assiale e 30° rotazione R+L";Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;MAB;;;;;2047;Di Emidio Srl;TAR.MAB845;€ 2.518,10;;;0;0;scaffale 17 B piano terra;0;0;0;0;0;0;0;;;;;;;;;Esaurito;00550 -- 000 (337).jpg
6;AVVITATORE;Avvitatore Bosch;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 1;3;0;3;0;3;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;AVVITATORE -- 000 (6).jpeg
7;SUPPORTO-CENTRAFORO-VERTICALE;base per foro verticale;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 2;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;SUPPORTO-CENTRAFORO-VERTICALE -- 000 (32).jpeg
8;CALIBRO-CENT.-150;calibro digitale di precisione in acciaio borletti CDEP15 150 mm;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;2047;Di Emidio Srl;BOR.CDEP15;€ 47,52;;;0;0;;2;0;2;0;2;0;0;;;30/10/2024;30/10/2024;;€ 47,52;€ 47,52;;Regolare;CALIBRO-CENT -150 -- 000 (526).JPG
9;CARICABATTERIE-BOSH-18V;Casricabatteria Bosh;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 3;2;0;2;0;2;0;0;;;22/09/2021;27/09/2021;;;;;Regolare;CARICABATTERIE-BOSH-18V -- 000 (16).jpeg
10;CAVO-RS232_HMI-TOUCH;Cavo per collegamento a HMI TOUCH SCREEN;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;CENTORAME;;;;;2084;D'ELPIDIO S.R.L;;;;;0;0;SCAF 9 P4  POSTO 1/C;1;0;1;0;1;0;0;;;04/03/2024;04/03/2024;;;;;Regolare;
11;Cavo RS232;Cavo per collegamento a plc;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 8 PIANO 2;2;0;2;0;2;0;0;;;12/10/2022;12/10/2022;;;;;Regolare;
12;GSC 18V-16 CESOIA;cesoia a batteria bosh;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 1;1;0;1;0;1;0;0;;;28/09/2021;28/09/2021;;;;;Regolare;GSC 18V-16 CESOIA -- 000 (181).jpg
13;CLIMATIZZATORE-PORTATILE;climatizzatori carrier portatili;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;carrier;;;;;;;;;;;0;0;SCAFFALE 2 PIANO 3;3;0;3;0;3;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;CLIMATIZZATORE-PORTATILE -- 000 (33).jpeg
14;00560;collare fissatubo zincato 30-40;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;MAB;;;;;2047;Di Emidio Srl;TAR.MAB845;€ 2.518,10;;;0;0;SCAF 16B RIP  POS  PIANO 4;5;0;5;0;5;0;0;;;10/02/2026;10/02/2026;;;;;Regolare;00560 -- 000 (740).jpg
15;COMPARATORE-SC60ANT-CON-BASE;COMPARATORE + Portacomparatore Borletti base magnetica;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;borletti;;;;;2047;Di Emidio Srl;LTF79.03;€ 43,81;;;0;0;;1;0;1;0;1;0;0;;;23/11/2021;23/11/2021;;€ 43,81;€ 43,81;;Regolare;COMPARATORE-SC60ANT-CON-BASE -- 000 (298).jpg
16;00396;"CONNETTORE OTTONE MASCHIO 1"" FEMMINA 1""";Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;MAB;;;;;2047;Di Emidio Srl;TAR.MAB845;€ 2.518,10;;;0;0;SCAF 16A RIP  POS  PIANO 4;1;0;1;0;1;0;0;;;05/11/2025;05/11/2025;;;;;Regolare;00396 -- 000 (604).jpg
17;00540;"DIODO DI POTENZA CONSENTE ALLA CORRENTE ELETTRICA DI FLUIRE IN UNA SOLA DIREZIONE BLOCCANDONE IL FLUSSO NELLA DIREZIONE OPPOSTA ""R25""";Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;MAB;;;;;2047;Di Emidio Srl;TAR.MAB845;€ 2.518,10;;;0;0;SCAF 16B RIP  POS  PIANO 4;5;0;5;0;5;0;0;;;28/11/2025;28/11/2025;;;;;Regolare;00540 -- 000 (723).jpeg
18;STUFA-OLIO;Elettro stufa ad olio holly 2000;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;plein air;;;;;2047;Di Emidio Srl;;;;;0;0;SCAFFALE 0 PIANO 4;2;0;2;0;2;0;0;;;14/01/2022;14/01/2022;;;;;Regolare;STUFA-OLIO -- 000 (300).jpeg
19;ESTRATTORE-PICCOLO;Estrattore per piccoli diametri;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 4;3;0;3;0;3;0;0;;;27/09/2021;27/09/2021;;;;;Regolare;ESTRATTORE-PICCOLO -- 000 (156).jpeg
20;FARO-BATTERIA;faro con batteria;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 2;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;FARO-BATTERIA -- 000 (31).jpeg
21;00394;FILTRO A RETE 1/2 MASCHIO;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAF 16A RIP  POS  PIANO 4;2;0;2;0;2;0;0;;;05/11/2025;05/11/2025;;;;;Regolare;00394 -- 000 (602).jpg
22;PISTOLA-SILICONE-310;Fischer KPM 2 Plus Pistola per Tassello Chimico e Silicone con Anti-Gocciolamento;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;FISCHER;;;;;;;53117;;;;0;0;SCAFFALE 11 PIANO 5;1;0;1;0;1;0;0;;;05/10/2021;05/10/2021;;;;;Regolare;PISTOLA-SILICONE-310 -- 000 (241).jpg
23;00558;"fisher/tassello a battere
 diametro 6 *40";Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;CENTORAME;;;;;2084;D'ELPIDIO S.R.L;;;;;0;0;SCAF 16B RIP  POS  PIANO 4;15;0;15;0;15;0;0;;;02/02/2026;02/02/2026;;;;;Regolare;00558 -- 000 (739).jpg
24;METRO-SFILABILE-MT10;flessometro powerblock mt 10;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;stanley;;;;;2082;GAGLIOTI RICAMBI INDUSTRIALI DI GAGLIOTI DANTE E C. S.N.C.;stpow10;€ 21,05;;;0;0;;4;0;4;0;4;0;0;;;17/11/2021;17/11/2021;;€ 21,05;€ 21,05;;Regolare;
25;METRO-SFILABILE-MT3;flessometro powerblock mt 3;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;stanley;;;;;2082;GAGLIOTI RICAMBI INDUSTRIALI DI GAGLIOTI DANTE E C. S.N.C.;stpow3;€ 7,76;;;0;0;;4;0;4;0;4;0;0;;;17/11/2021;17/11/2021;;€ 7,76;€ 7,76;;Regolare;
26;METRO-SFILABILE-MT5;flessometro powerblock mt 5;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;stanley;;;;;2082;GAGLIOTI RICAMBI INDUSTRIALI DI GAGLIOTI DANTE E C. S.N.C.;stpow5;€ 12,96;;;0;0;;4;0;4;0;4;0;0;;;17/11/2021;17/11/2021;;€ 12,96;€ 12,96;;Regolare;
27;FRESA-20X30-WELDON-19-CORTO;Fresa 20x30 attacco serie weldone corta;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;2047;Di Emidio Srl;tar0049729;€ 31,48;;;0;0;;1;0;1;0;1;0;0;;;07/06/2022;07/06/2022;;€ 31,48;€ 31,48;;Regolare;FRESA-20X30-WELDON-19-CORTO -- 000 (341).jpg
28;FRESA-GRANDE-30MM;Fresa Grande per spina 30x60 Bosh;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 4;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;FRESA-GRANDE-30MM -- 000 (18).jpg
29;FRESA-PICCOLA-FILO;Fresa per spinaH 3x15;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 3;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;FRESA-PICCOLA-FILO -- 000 (15).jpg
30;FRESA-PICCOLA-BOSH1210;Fresa Piccola Bosh -DISUSO;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 4;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;FRESA-PICCOLA-BOSH1210 -- 000 (19).jpg
31;00551;FRESE A TAZZA VARIE MISURE;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;2047;Di Emidio Srl;gri00ft0600;€ 1,09;sconto 20;;0;0;SCAFFALE 17 B PIANO 1;1;0;1;0;1;0;0;;;05/12/2025;05/12/2025;;;;;Regolare;00551 -- 000 (732).jpg
32;GATTUCCIO-CAVO;Gattuccio  Bosch;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 1;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;GATTUCCIO-CAVO -- 000 (8).jpeg
33;GSA 18 V-LI C gattuccio;gattuccio a batteria;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 1;1;0;1;0;1;0;0;;;28/09/2021;28/09/2021;;;;;Regolare;GSA 18 V-LI C gattuccio -- 000 (180).jpg
34;KIT-INSERTI-ESAGONALE;Kit ad inserto con cric. serie esagonale;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;usag;;;;;2047;Di Emidio Srl;usau06060012;€ 45,00;;;0;0;scaffale usag;1;0;1;0;1;0;0;;;08/10/2021;08/10/2021;;€ 45,00;€ 45,00;;Regolare;KIT-INSERTI-ESAGONALE -- 000 (262).jpg
35;KIT-INSERTI-TAGLIO-CROCE-BRUGOLA;Kit ad inserto con cric. serie TAGLI,CROCE,BRUGOLA;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;usag;;;;;2047;Di Emidio Srl;;€ 45,00;;;0;0;scaffale usag;1;0;1;0;1;0;0;;;08/10/2021;08/10/2021;;€ 45,00;€ 45,00;;Regolare;KIT-INSERTI-TAGLIO-CROCE-BRUGOLA -- 000 (263).jpg
36;LAMPADA-BATTERIA-FOODLIGHT;Lampada ricaricabile da 20W;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;2084;D'ELPIDIO S.R.L;ZEC KFL120;€ 91,20;;;0;0;;2;0;2;0;2;0;0;;;04/11/2021;04/11/2021;;€ 91,20;€ 91,20;;Regolare;LAMPADA-BATTERIA-FOODLIGHT -- 000 (288).jpg
37;LED-BATTERIA;led a batteriada 15w;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;STORCH;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 2;1;0;1;0;1;0;0;;;23/09/2021;23/09/2021;;;;;Regolare;LED-BATTERIA -- 000 (51).jpg
38;LEVIGATRICE-NASTRO-FILO;Levigatrice a nastro con filo Bosh con sacchetto;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 4;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;LEVIGATRICE-NASTRO-FILO -- 000 (10).jpg
39;LEVIGATRICE-NASTRO-GPS75AE;Levigatrice a nastro con filo Bosh GRANDE;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 5;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;LEVIGATRICE-NASTRO-GPS75AE -- 000 (25).jpg
40;LEVIGATRICE-ANGOLARE GEX 18V-125;levigatrice angolare bosh;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 1;1;0;1;0;1;0;0;;;21/01/2022;21/01/2022;;;;;Regolare;LEVIGATRICE-ANGOLARE GEX 18V-125 -- 000 (305).jpeg
41;CASCO-MASCHERA-SALDATORE;Maschera a casco da sandatore;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;Stayer;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 5;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;CASCO-MASCHERA-SALDATORE -- 000 (22).jpeg
42;MASCHERA-SALDATORE;MascherE da sandatore;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 5;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;MASCHERA-SALDATORE -- 000 (23).jpeg
43;LASER-MAKITA-METRO;metro makita laser per misurazioni;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 5;1;0;1;0;1;0;0;;;29/09/2021;29/09/2021;;;;;Regolare;LASER-MAKITA-METRO -- 000 (191).jpeg
44;MICROMETRO-MILLESIMALE-0-25;"Micrometro digitale esterno da 0-25 mm (0-1""), risoluzione 0,001 mm (0,00005""), graduazione 0,01 mm";Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;BORLETTI;;;;;2047;Di Emidio Srl;bor.mde1;€ 101,81;;;0;0;;1;0;1;0;1;0;0;;;30/10/2024;30/10/2024;;€ 101,81;€ 101,81;;Regolare;MICROMETRO-MILLESIMALE-0-25 -- 000 (528).JPG
45;OLIO-DA-TAGLIO;Olio da Taglio;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;roloil;;;;;;;80003/366;;;;0;0;SCAFFALE 3 PIANO 4;3;0;3;0;3;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;OLIO-DA-TAGLIO -- 000 (34).jpeg
46;00470;Olio MOTORE VUOTO CARICO LASTRE;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;roloil;;;;;;;80003/366;;;;0;0;SCAFFALE 3 PIANO 1;1;0;1;0;1;0;0;;;24/11/2025;24/11/2025;;;;;Regolare;00470 -- 000 (675).jpg
47;00543;"Olio pneumatico POMPA del VUOTO SCARICATORE PANNELLI  2400
MOTUL SUPRACO MPL 150 LT5";Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;roloil;;;;;;;MOTLMPL150;;;;0;0;SCAFFALE 3 PIANO 1;1;0;1;0;1;0;0;;;28/11/2025;28/11/2025;;;;;Regolare;00543 -- 000 (724).jpeg
48;PIALLE-MANUALE;pialla manuale bosh;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 2;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;PIALLE-MANUALE -- 000 (26).jpg
49;PISTOLA-COLLA-CALDO;pistola a caldo;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 2;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;PISTOLA-COLLA-CALDO -- 000 (30).jpg
50;PISTOLA-ARIA-CALDA;Pistola ad aria calda;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 1;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;PISTOLA-ARIA-CALDA -- 000 (28).jpg
51;PISTOLA-ARIA-COMPRESSA;Pistola per aria compressa;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 3;4;0;4;0;4;0;0;;;27/09/2021;27/09/2021;;;;;Regolare;PISTOLA-ARIA-COMPRESSA -- 000 (157).jpeg
52;PISTOLA-COLLA-ARIA;Pistola per colla e stucchi ad aria;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 2;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;PISTOLA-COLLA-ARIA -- 000 (9).jpg
53;00392;PORTA TUBO CON GHIERA 3/4 OTTONE PER TUBO DIAMETRO 15;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;MAB;;;;;2047;Di Emidio Srl;TAR.MAB845;€ 2.518,10;;;0;0;SCAF 16A RIP  POS  PIANO 4;3;0;3;0;3;0;0;;;05/11/2025;05/11/2025;;;;;Regolare;00392 -- 000 (600).jpg
54;PORTACOMPARATORE-BORLETTI-AC/MGDS;Portacomparatore Borletti base magnetica;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;borletti;;;;;2047;Di Emidio Srl;LTF.AC/MGDS;€ 230,58;;;0;0;;1;0;1;0;1;0;0;;;23/11/2021;23/11/2021;;€ 230,58;€ 230,58;;Regolare;PORTACOMPARATORE-BORLETTI-AC-MGDS -- 000 (297).jpg
55;PUNTA-MURO-10;Punta a muro 10x215x150;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;2047;Di Emidio Srl;bos2608900098;€ 8,33;30 sconto;;0;0;SCAFFALE 3 PIANO 5;1;0;1;0;1;0;0;;;08/10/2021;08/10/2021;;€ 8,33;€ 8,33;;Regolare;
56;PUNTA-MURO-14;Punta a muro 14X150X200;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;2047;Di Emidio Srl;BOS1618596270;€ 9,17;30 sconto;;0;0;SCAFFALE 3 PIANO 5;1;0;1;0;1;0;0;;;08/10/2021;08/10/2021;;€ 9,17;€ 9,17;;Regolare;
57;PUNTA-MURO-16;Punta a muro 16X150X210;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;2047;Di Emidio Srl;BOS2608596185;€ 11,62;30 sconto;;0;0;SCAFFALE 3 PIANO 5;1;0;1;0;1;0;0;;;08/10/2021;08/10/2021;;€ 11,62;€ 11,62;;Regolare;
58;PUNTATORE-LASER-SPECCHIO;Puntatore per il laser Bosh;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;3165140617505;;bosh;;;;;;;1 608 M00 05C;;;;0;0;SCAFFALE 11  PIANO 4;2;0;2;0;2;0;0;;;23/09/2021;23/09/2021;;;;;Regolare;PUNTATORE-LASER-SPECCHIO -- 000 (82).jpeg
59;PUNTE-MASCHIATRICE;"Punte trapano, con annesso maschiatore di ogni misura
maschio da m3 a m12 (manca m4)
punte da 2,5 a 10,2 (manca 2,5,3,3,4,2,6,8)";Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;whurt;;;;;;;06531;;;;0;0;SCAFFALE 11 PIANO 2;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;
60;00561;raccordo-cannette ottone per ventose M/M 1/4-1/4;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;MAB;;;;;2047;Di Emidio Srl;TAR.MAB845;€ 2.518,10;;;0;0;SCAF 15A RIP  POS  PIANO 5;6;0;6;0;6;0;0;;;10/02/2026;10/02/2026;;;;;Regolare;
61;00562;raccordo-cannette ottone per ventose M1/4 M passoM12;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;MAB;;;;;2047;Di Emidio Srl;TAR.MAB845;€ 2.518,10;;;0;0;SCAF 15A RIP  POS  PIANO 5;7;0;7;0;7;0;0;;;10/02/2026;10/02/2026;;;;;Regolare;
62;RILEVATORE-TEMPERATURE-LIQUIDI;Rilevatore della temperatura dei liquidi a immersione;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;Eliwell;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 2;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;RILEVATORE-TEMPERATURE-LIQUIDI -- 000 (43).jpeg
63;00553;rivetto bianco diametro 4;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;CENTORAME;;;;;2084;D'ELPIDIO S.R.L;;;;;0;0;SCAF 16B RIP  POS  PIANO 4;100;0;100;0;100;0;0;;;19/01/2026;19/01/2026;;;;;Regolare;
64;00554;rivetto zincato diametro 4;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;CENTORAME;;;;;2084;D'ELPIDIO S.R.L;;;;;0;0;SCAF 16B RIP  POS  PIANO 4;100;0;100;0;100;0;0;;;19/01/2026;19/01/2026;;;;;Regolare;
65;SALDATRICE-INVERTER-USAG998;Saldatrice a bacchetta;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;usag;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 5;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;SALDATRICE-INVERTER-USAG998 -- 000 (27).jpeg
66;SATINATRICE-ANGOLARE-RULLO;Satinatrice angolare a rullo intercambiabile manuale;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;toolls;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 5;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;SATINATRICE-ANGOLARE-RULLO -- 000 (46).jpg
67;SEGA-CIRCOLARE-165-BATTERIA;Sega circolare a batteria con disco da 165mm;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;cango;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 3;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;SEGA-CIRCOLARE-165-BATTERIA -- 000 (14).jpg
68;SEGA-CIRCOLARE-LAMA-355;Sega Circolare grande per taglio pannelli fino a 160mm di altezza;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;makita;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 6;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;SEGA-CIRCOLARE-LAMA-355 -- 000 (45).jpg
69;SEGHETTO-ALTERNATIVO;SEGHETTO ALTERNATIVO;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh-METABO;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 1;2;0;2;0;2;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;SEGHETTO-ALTERNATIVO -- 000 (20).jpeg
70;SERIE-INSERTI;Serie Inserti Bosh per avvitatore tutte le misure;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 2;0;0;0;0;0;0;0;;;;;;;;;Esaurito;SERIE-INSERTI -- 000 (42).jpeg
71;SMERIGLIATRICE-BATTERIA;Smerigliatrice Bosch;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 1;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;SMERIGLIATRICE-BATTERIA -- 000 (7).jpeg
72;SMERIGLIATRICE-DREMEL-DRITTA;Smerigliatrice diritta professionale art.CP9105Q-B progettata per rimuovere il materiale tramite l'utilizzo di abrasivi.;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;Chicago Pneumatics;;;;;;;;;;;0;0;SCAFFALE 11 PIANO 4;1;0;1;0;1;0;0;;;27/09/2021;27/09/2021;;;;;Regolare;SMERIGLIATRICE-DREMEL-DRITTA -- 000 (117).jpg
73;SNODO-90°-AVVITATORE;Snodo per avvitatore 90*;Art. con magazzino;ATTREZZATURE DA LAVORO;;pz;22;;;;;;;;;;bosh;;;;;;;;;;;0;0;SCAFFALE 10 PIANO 1;1;0;1;0;1;0;0;;;22/09/2021;22/09/2021;;;;;Regolare;SNODO-90°-AVVITATORE -- 000 (44).jpeg
